"year","age","status","education","jobclass","insurance","wage"
2008,44,"never married","1.primary","industrial","no",87.9810327856054
2005,47,"married","5.phd","IT","yes",128.680488220624
2004,61,"married","3.bachelor","industrial","yes",106.723977625299
2009,55,"married","5.phd","IT","no",66.0446942318056
2003,24,"never married","1.primary","industrial","no",51.521956314716
2007,42,"widowed","2.highschool","industrial","yes",85.3839403789827
2006,25,"married","2.highschool","IT","yes",76.8936025176112
2004,34,"divorced","2.highschool","industrial","no",90.4819133566401
2009,53,"married","1.primary","IT","no",68.0764282889521
2009,53,"married","4.master","IT","yes",130.982177377461
2009,70,"married","5.phd","IT","no",127.901232979118
2004,47,"married","4.master","IT","yes",131.224593755096
2003,46,"married","2.highschool","industrial","yes",99.6894636984864
2003,33,"divorced","1.primary","industrial","yes",76.8936025176112
2005,34,"married","5.phd","IT","yes",107.903923866877
2006,22,"never married","2.highschool","industrial","no",81.2832532842527
2009,74,"married","2.highschool","industrial","yes",99.6894636984864
2003,40,"married","3.bachelor","IT","yes",98.5993438603892
2006,45,"married","4.master","IT","yes",200.543262324662
2009,43,"married","4.master","IT","yes",156.503510882633
2005,33,"married","4.master","IT","yes",144.944364980516
2009,62,"married","4.master","IT","yes",118.884359339886
2008,37,"married","4.master","IT","yes",121.430313822622
2004,54,"married","2.highschool","IT","yes",111.720849360989
2005,34,"married","3.bachelor","industrial","no",68.7480877337669
2008,50,"never married","4.master","IT","yes",114.475713290347
2006,46,"divorced","3.bachelor","industrial","yes",95.2307125669819
2007,41,"married","1.primary","industrial","no",87.9810327856054
2003,63,"divorced","3.bachelor","industrial","yes",64.2743972206327
2007,38,"married","3.bachelor","industrial","yes",128.680488220624
2006,35,"married","3.bachelor","industrial","yes",114.475713290347
2009,29,"married","4.master","IT","yes",112.6488963421
2008,66,"married","1.primary","industrial","yes",81.2832532842527
2004,37,"married","2.highschool","IT","yes",75.8954848228103
2006,39,"married","2.highschool","IT","yes",112.136922992214
2003,42,"married","2.highschool","industrial","no",85.3839403789827
2007,51,"divorced","2.highschool","industrial","yes",94.0727147457005
2009,55,"married","5.phd","industrial","yes",114.475713290347
2006,51,"married","5.phd","industrial","yes",176.989650489877
2008,38,"married","5.phd","industrial","yes",276.778413321176
2005,49,"married","2.highschool","IT","yes",101.82435207568
2006,42,"married","2.highschool","IT","no",91.6992261117042
2009,43,"separated","1.primary","IT","no",86.6951548289402
2006,38,"married","4.master","IT","yes",162.946460744664
2008,59,"married","2.highschool","industrial","yes",139.213788138664
2009,57,"married","3.bachelor","industrial","yes",95.2307125669819
2005,25,"never married","2.highschool","industrial","no",66.9616443217359
2004,49,"married","4.master","industrial","yes",131.194323611687
2004,41,"married","1.primary","industrial","yes",90.4819133566401
2009,38,"married","2.highschool","industrial","yes",114.475713290347
2003,61,"married","5.phd","industrial","yes",79.1280844956297
2007,49,"divorced","2.highschool","industrial","yes",104.591737924918
2008,52,"divorced","5.phd","IT","yes",132.487821126123
2007,43,"married","5.phd","IT","yes",141.77517233318
2008,60,"married","4.master","IT","yes",123.089699847943
2005,46,"married","5.phd","IT","yes",134.705375118879
2004,21,"never married","2.highschool","IT","no",55.7673905084923
2009,61,"married","4.master","industrial","yes",106.921814091211
2007,32,"married","5.phd","IT","yes",118.884359339886
2004,58,"married","2.highschool","IT","yes",87.9810327856054
2003,35,"never married","2.highschool","IT","yes",88.9296066367913
2004,26,"never married","2.highschool","IT","yes",81.2832532842527
2006,32,"never married","2.highschool","industrial","no",94.0727147457005
2003,37,"married","2.highschool","IT","yes",106.921814091211
2007,22,"never married","2.highschool","industrial","no",59.0970640815891
2005,51,"never married","2.highschool","industrial","no",65.1108537153447
2004,44,"divorced","5.phd","IT","yes",120.589436530402
2005,35,"married","5.phd","industrial","yes",157.700527725737
2004,60,"married","2.highschool","IT","yes",129.453644576626
2007,40,"married","4.master","IT","yes",176.989650489877
2004,35,"never married","1.primary","IT","no",59.0970640815891
2007,35,"married","5.phd","IT","no",94.0727147457005
2008,47,"married","2.highschool","industrial","yes",134.705375118879
2003,43,"never married","4.master","IT","yes",81.2832532842527
2003,33,"married","1.primary","industrial","yes",81.2832532842527
2003,60,"divorced","5.phd","industrial","yes",153.457515308961
2008,38,"married","5.phd","industrial","yes",136.876367635184
2005,53,"married","2.highschool","IT","no",75.0431540173516
2004,55,"married","3.bachelor","IT","yes",130.220832358777
2003,57,"married","2.highschool","IT","no",104.921506533664
2005,64,"married","4.master","IT","no",49.5553381215227
2007,43,"married","2.highschool","industrial","yes",123.908567597957
2008,35,"married","3.bachelor","IT","yes",123.089699847943
2008,54,"married","2.highschool","IT","no",78.155161407934
2007,45,"married","2.highschool","IT","yes",73.7757432746946
2003,58,"divorced","4.master","IT","yes",138.299126920883
2007,48,"married","4.master","IT","no",127.115743812184
2003,46,"married","1.primary","industrial","yes",68.7480877337669
2004,46,"married","2.highschool","industrial","yes",84.39111474778
2009,55,"married","1.primary","industrial","yes",85.3839403789827
2006,51,"married","3.bachelor","industrial","yes",128.680488220624
2005,49,"married","3.bachelor","industrial","yes",70.4760196469445
2008,34,"never married","3.bachelor","industrial","yes",76.8936025176112
2007,53,"married","3.bachelor","industrial","no",148.413159102577
2004,40,"married","3.bachelor","industrial","yes",148.413159102577
2009,50,"married","3.bachelor","industrial","yes",175.960883130401
2006,37,"divorced","1.primary","IT","yes",98.5993438603892
2003,39,"married","3.bachelor","industrial","yes",145.143601176911
2004,52,"married","4.master","industrial","yes",99.6894636984864
2003,50,"married","2.highschool","IT","yes",141.08887439127
2006,48,"married","4.master","industrial","yes",123.089699847943
2006,47,"married","2.highschool","industrial","yes",129.453644576626
2005,27,"married","4.master","industrial","yes",111.720849360989
2006,39,"married","2.highschool","industrial","yes",103.90247060316
2009,44,"married","2.highschool","IT","yes",118.884359339886
2003,37,"married","3.bachelor","industrial","yes",151.591484239814
2006,52,"married","2.highschool","industrial","no",101.82435207568
2004,26,"never married","3.bachelor","industrial","yes",99.6894636984864
2008,39,"married","5.phd","industrial","yes",99.6894636984864
2006,25,"married","2.highschool","industrial","no",99.6894636984864
2005,31,"never married","4.master","IT","no",94.0727147457005
2004,58,"married","3.bachelor","industrial","yes",152.216806827106
2005,30,"married","4.master","IT","yes",104.921506533664
2004,27,"married","1.primary","industrial","yes",65.1108537153447
2003,40,"divorced","2.highschool","industrial","yes",95.2307125669819
2006,55,"married","5.phd","industrial","yes",173.879493310012
2009,35,"married","5.phd","IT","yes",193.411070530969
2008,48,"married","2.highschool","industrial","no",114.475713290347
2006,29,"never married","4.master","industrial","yes",160.642475408263
2005,25,"never married","3.bachelor","industrial","yes",89.4924795180001
2004,40,"married","3.bachelor","industrial","yes",120.589436530402
2006,27,"married","1.primary","IT","no",73.7757432746946
2006,44,"married","2.highschool","IT","yes",127.115743812184
2006,49,"married","3.bachelor","IT","yes",118.884359339886
2003,22,"never married","3.bachelor","industrial","no",34.6074177301288
2007,45,"married","3.bachelor","industrial","yes",114.475713290347
2007,33,"married","3.bachelor","industrial","no",85.3839403789827
2007,63,"married","5.phd","IT","yes",318.342430056529
2006,49,"never married","4.master","industrial","yes",141.77517233318
2005,39,"never married","5.phd","IT","yes",130.982177377461
2007,25,"never married","1.primary","industrial","no",73.7757432746946
2005,29,"never married","5.phd","IT","yes",130.982177377461
2006,37,"married","2.highschool","industrial","yes",75.0431540173516
2008,35,"married","5.phd","IT","yes",154.990260276812
2009,46,"married","2.highschool","industrial","yes",104.921506533664
2008,58,"married","4.master","industrial","yes",73.118306923864
2003,39,"married","5.phd","industrial","yes",123.089699847943
2008,41,"married","4.master","IT","yes",157.700527725737
2008,29,"married","4.master","IT","yes",81.2832532842527
2009,37,"married","4.master","IT","yes",107.256062128429
2009,62,"married","2.highschool","IT","no",78.9816745162994
2008,27,"never married","2.highschool","industrial","yes",73.7757432746946
2003,37,"married","2.highschool","industrial","yes",94.0727147457005
2006,56,"separated","4.master","IT","no",99.6894636984864
2004,36,"married","3.bachelor","IT","yes",176.989650489877
2005,23,"never married","2.highschool","IT","no",73.7757432746946
2003,46,"married","3.bachelor","IT","yes",99.6894636984864
2009,26,"never married","3.bachelor","industrial","no",94.0727147457005
2006,43,"married","1.primary","IT","yes",95.2307125669819
2007,36,"married","2.highschool","IT","yes",127.115743812184
2003,54,"separated","3.bachelor","IT","yes",99.6894636984864
2003,62,"married","2.highschool","industrial","yes",95.6888119067371
2006,40,"married","2.highschool","industrial","yes",109.833985642199
2006,53,"married","3.bachelor","industrial","yes",118.884359339886
2007,48,"married","5.phd","IT","yes",176.989650489877
2004,23,"married","4.master","industrial","no",61.1875264339915
2009,34,"married","2.highschool","industrial","yes",81.2832532842527
2004,43,"married","4.master","IT","no",256.400649562425
2006,55,"married","2.highschool","IT","yes",81.2832532842527
2007,59,"never married","2.highschool","IT","yes",81.2832532842527
2007,60,"married","2.highschool","IT","no",55.7673905084923
2009,49,"never married","2.highschool","industrial","yes",75.3556793180091
2006,45,"married","3.bachelor","industrial","yes",130.982177377461
2006,31,"divorced","2.highschool","industrial","no",43.7351116779821
2004,34,"never married","4.master","IT","yes",114.475713290347
2005,26,"never married","5.phd","IT","yes",114.475713290347
2007,22,"never married","2.highschool","industrial","no",81.2832532842527
2004,40,"married","2.highschool","IT","no",68.5721657022738
2009,41,"married","3.bachelor","IT","yes",109.833985642199
2006,36,"never married","3.bachelor","industrial","yes",97.4932940453934
2007,38,"married","1.primary","industrial","no",62.3983547205685
2003,48,"married","2.highschool","industrial","no",97.4932940453934
2006,47,"married","3.bachelor","IT","yes",134.705375118879
2005,47,"separated","1.primary","industrial","no",61.1875264339915
2007,35,"married","4.master","IT","no",118.884359339886
2008,49,"married","2.highschool","IT","yes",65.1108537153447
2004,40,"married","3.bachelor","IT","yes",109.833985642199
2004,32,"widowed","4.master","industrial","no",104.921506533664
2008,57,"married","4.master","industrial","yes",73.7757432746946
2008,56,"married","4.master","industrial","yes",141.77517233318
2009,73,"married","1.primary","industrial","no",90.4819133566401
2007,29,"never married","2.highschool","industrial","yes",73.7757432746946
2003,49,"married","5.phd","industrial","yes",134.705375118879
2009,30,"never married","2.highschool","industrial","yes",109.833985642199
2008,29,"married","2.highschool","industrial","yes",91.6992261117042
2004,36,"married","3.bachelor","IT","no",95.2307125669819
2009,39,"married","5.phd","IT","yes",156.503510882633
2007,48,"married","4.master","IT","yes",104.921506533664
2006,45,"married","4.master","industrial","yes",99.6894636984864
2004,50,"married","4.master","industrial","no",54.5981500331442
2003,42,"married","4.master","IT","yes",32.3664131748549
2007,58,"married","3.bachelor","industrial","no",118.884359339886
2007,48,"married","2.highschool","industrial","yes",109.833985642199
2003,48,"married","4.master","industrial","yes",109.833985642199
2005,45,"married","3.bachelor","IT","yes",118.884359339886
2007,41,"divorced","3.bachelor","industrial","yes",110.782650276254
2008,27,"never married","2.highschool","industrial","yes",93.5572673479306
2004,44,"married","2.highschool","IT","yes",109.833985642199
2003,32,"married","4.master","IT","yes",118.884359339886
2006,46,"married","1.primary","IT","yes",118.884359339886
2005,52,"married","2.highschool","IT","no",52.1561711699148
2003,22,"never married","3.bachelor","industrial","no",43.7351116779821
2004,53,"widowed","2.highschool","industrial","yes",117.146816914805
2008,34,"married","5.phd","industrial","yes",118.884359339886
2009,38,"married","2.highschool","industrial","yes",148.413159102577
2009,42,"married","1.primary","IT","yes",101.82435207568
2005,25,"never married","3.bachelor","IT","yes",94.0727147457005
2004,29,"never married","3.bachelor","industrial","yes",86.6951548289402
2005,28,"married","5.phd","IT","yes",141.77517233318
2005,46,"married","4.master","industrial","yes",66.9616443217359
2007,55,"married","5.phd","IT","yes",118.884359339886
2004,56,"married","2.highschool","industrial","no",105.767639622758
2005,41,"divorced","2.highschool","IT","yes",118.884359339886
2009,61,"married","5.phd","IT","no",176.989650489877
2003,47,"married","2.highschool","IT","yes",65.1108537153447
2006,52,"married","3.bachelor","industrial","yes",85.3839403789827
2004,27,"married","2.highschool","industrial","no",72.1504556815713
2007,33,"never married","3.bachelor","IT","yes",89.2428846644714
2003,58,"never married","2.highschool","IT","yes",65.1108537153447
2005,27,"married","4.master","industrial","yes",145.805163374625
2009,52,"separated","2.highschool","industrial","yes",87.9810327856054
2003,45,"married","5.phd","industrial","no",41.0998036301194
2003,22,"never married","2.highschool","IT","yes",68.3956538035455
2005,25,"never married","3.bachelor","industrial","yes",81.2832532842527
2004,25,"never married","2.highschool","industrial","yes",73.7757432746946
2005,41,"married","1.primary","industrial","yes",130.982177377461
2006,54,"separated","4.master","industrial","yes",148.413159102577
2007,23,"married","2.highschool","industrial","yes",81.226746312023
2006,36,"never married","5.phd","industrial","yes",63.1888610037461
2004,31,"separated","3.bachelor","industrial","yes",94.0727147457005
2006,52,"married","2.highschool","IT","yes",92.6581301668597
2007,46,"married","2.highschool","IT","no",76.8936025176112
2007,45,"married","2.highschool","industrial","yes",118.884359339886
2009,40,"married","2.highschool","industrial","no",79.8549003093467
2004,33,"never married","4.master","IT","yes",86.6951548289402
2007,42,"married","4.master","IT","yes",133.971500070695
2007,41,"married","4.master","IT","yes",125.525498433836
2007,25,"never married","2.highschool","industrial","yes",92.8958447894966
2005,24,"divorced","2.highschool","industrial","yes",72.1504556815713
2006,24,"never married","3.bachelor","industrial","no",118.884359339886
2008,51,"married","2.highschool","IT","no",70.4760196469445
2004,41,"married","2.highschool","industrial","no",127.115743812184
2009,42,"never married","4.master","IT","yes",114.475713290347
2005,30,"never married","4.master","industrial","yes",87.9810327856054
2009,55,"married","1.primary","industrial","no",54.5981500331442
2008,23,"never married","2.highschool","industrial","yes",84.0459576539924
2003,60,"divorced","4.master","IT","no",85.3839403789827
2003,40,"married","5.phd","IT","yes",141.77517233318
2008,41,"never married","2.highschool","IT","yes",110.782650276254
2003,80,"married","2.highschool","IT","yes",79.8549003093467
2005,53,"married","2.highschool","IT","yes",97.4932940453934
2004,40,"never married","2.highschool","industrial","no",171.765132627508
2009,35,"married","3.bachelor","industrial","yes",137.481247831663
2009,55,"married","1.primary","industrial","yes",75.3556793180091
2008,24,"never married","2.highschool","IT","yes",73.7757432746946
2007,39,"married","4.master","IT","yes",148.413159102577
2003,30,"married","5.phd","industrial","yes",95.2307125669819
2005,68,"married","2.highschool","industrial","yes",87.9810327856054
2004,54,"married","2.highschool","IT","yes",109.833985642199
2008,27,"never married","4.master","industrial","no",81.2832532842527
2005,34,"married","2.highschool","industrial","yes",118.884359339886
2004,53,"married","5.phd","IT","yes",127.115743812184
2004,48,"married","5.phd","IT","no",85.3839403789827
2005,59,"married","2.highschool","industrial","yes",81.2832532842527
2004,30,"married","3.bachelor","industrial","no",118.884359339886
2007,45,"married","5.phd","IT","yes",163.515863976238
2007,39,"married","4.master","IT","yes",104.921506533664
2008,45,"married","4.master","industrial","no",99.6894636984864
2007,43,"married","5.phd","IT","yes",281.745970551857
2003,30,"never married","5.phd","IT","yes",138.299126920883
2005,57,"married","4.master","IT","yes",176.989650489877
2004,53,"married","4.master","IT","yes",136.876367635184
2009,42,"married","4.master","IT","yes",186.876677628007
2005,23,"never married","2.highschool","industrial","no",90.4819133566401
2009,58,"married","2.highschool","industrial","no",85.3839403789827
2005,43,"married","1.primary","industrial","yes",145.143601176911
2003,33,"divorced","5.phd","IT","yes",120.589436530402
2004,56,"married","4.master","IT","yes",101.82435207568
2006,37,"married","4.master","industrial","no",108.874525834712
2009,41,"divorced","5.phd","industrial","no",38.6059145209601
2007,33,"married","3.bachelor","IT","yes",92.8958447894966
2007,50,"never married","5.phd","IT","yes",126.323880709786
2003,43,"married","5.phd","IT","yes",191.573683548412
2004,53,"married","4.master","industrial","yes",155.900506146767
2005,37,"widowed","3.bachelor","IT","yes",87.9810327856054
2006,20,"never married","3.bachelor","IT","no",59.0970640815891
2003,26,"never married","3.bachelor","industrial","yes",73.7757432746946
2003,29,"divorced","4.master","IT","no",90.4819133566401
2008,57,"married","4.master","IT","yes",118.884359339886
2009,47,"married","3.bachelor","IT","yes",151.591484239814
2004,54,"married","5.phd","industrial","no",272.294783220064
2007,38,"married","1.primary","industrial","no",97.4932940453934
2006,23,"never married","3.bachelor","industrial","no",68.1119940653271
2004,31,"married","2.highschool","IT","yes",127.115743812184
2004,43,"married","4.master","IT","yes",272.294783220064
2003,33,"married","5.phd","IT","no",111.720849360989
2004,48,"married","2.highschool","industrial","yes",127.115743812184
2008,33,"married","2.highschool","industrial","yes",87.9810327856054
2009,52,"married","4.master","IT","yes",114.475713290347
2008,30,"never married","3.bachelor","IT","no",69.7915308454408
2004,44,"married","2.highschool","industrial","yes",94.0727147457005
2004,38,"married","2.highschool","IT","yes",127.273347006486
2008,51,"married","2.highschool","industrial","yes",160.642475408263
2007,47,"married","3.bachelor","industrial","yes",171.765132627508
2005,28,"married","4.master","IT","yes",141.77517233318
2004,52,"divorced","3.bachelor","IT","yes",115.375038556391
2004,23,"never married","1.primary","industrial","no",72.1504556815713
2003,65,"married","1.primary","industrial","no",73.7757432746946
2005,27,"never married","4.master","industrial","yes",127.115743812184
2004,33,"married","1.primary","IT","no",20.9343779401018
2008,49,"married","2.highschool","industrial","yes",79.8549003093467
2008,27,"never married","3.bachelor","industrial","yes",102.870246933215
2008,48,"divorced","2.highschool","industrial","yes",115.375038556391
2005,38,"never married","3.bachelor","industrial","yes",97.4932940453934
2008,58,"married","3.bachelor","industrial","no",104.921506533664
2003,40,"married","5.phd","industrial","no",115.375038556391
2007,46,"married","2.highschool","industrial","no",93.4866920429597
2009,53,"married","3.bachelor","IT","yes",123.089699847943
2009,25,"never married","5.phd","IT","yes",118.884359339886
2003,42,"married","3.bachelor","IT","yes",96.3706528322308
2004,40,"never married","2.highschool","industrial","yes",84.0459576539924
2006,35,"married","2.highschool","IT","yes",127.115743812184
2005,50,"separated","2.highschool","IT","no",95.2307125669819
2004,34,"married","3.bachelor","industrial","yes",81.2832532842527
2009,48,"married","2.highschool","IT","yes",102.870246933215
2004,49,"married","5.phd","IT","yes",111.720849360989
2009,41,"married","4.master","IT","no",94.0727147457005
2004,37,"married","4.master","IT","yes",127.115743812184
2003,58,"married","3.bachelor","IT","yes",104.921506533664
2006,28,"never married","2.highschool","industrial","no",68.1119940653271
2003,33,"married","2.highschool","industrial","yes",128.680488220624
2003,50,"married","3.bachelor","industrial","yes",143.92735936583
2009,38,"married","2.highschool","IT","yes",103.90247060316
2003,48,"married","2.highschool","industrial","yes",91.6992261117042
2008,30,"married","3.bachelor","industrial","yes",95.2307125669819
2006,49,"married","5.phd","IT","no",138.299126920883
2005,44,"married","4.master","IT","yes",118.55677641507
2009,50,"married","2.highschool","industrial","yes",94.0727147457005
2009,58,"married","4.master","IT","yes",114.475713290347
2004,45,"never married","4.master","IT","yes",150.01328628271
2005,44,"married","3.bachelor","IT","no",97.4932940453934
2005,35,"divorced","4.master","IT","no",90.4819133566401
2005,59,"married","2.highschool","IT","no",81.2832532842527
2009,45,"married","2.highschool","IT","no",130.982177377461
2004,51,"married","4.master","industrial","yes",150.962783462143
2006,61,"married","3.bachelor","IT","no",130.982177377461
2008,45,"married","2.highschool","industrial","yes",145.143601176911
2003,34,"never married","4.master","industrial","yes",90.4819133566401
2007,33,"married","4.master","IT","no",113.567089569751
2005,45,"married","2.highschool","IT","yes",87.9810327856054
2009,50,"never married","5.phd","IT","yes",157.700527725737
2006,50,"married","2.highschool","IT","yes",109.833985642199
2005,39,"married","3.bachelor","IT","no",84.0459576539924
2009,26,"never married","4.master","IT","yes",160.643638171791
2007,49,"married","2.highschool","industrial","no",47.9055670370271
2003,20,"never married","2.highschool","industrial","no",59.0970640815891
2003,31,"married","4.master","industrial","no",81.2832532842527
2007,49,"married","2.highschool","IT","yes",87.9810327856054
2007,56,"never married","2.highschool","industrial","yes",87.9810327856054
2005,61,"married","4.master","IT","yes",143.808556824369
2005,56,"separated","2.highschool","IT","yes",110.782650276254
2009,51,"married","4.master","IT","no",118.884359339886
2004,42,"married","1.primary","industrial","yes",120.589436530402
2004,45,"married","4.master","industrial","yes",272.294783220064
2006,30,"married","5.phd","IT","yes",105.375892660271
2005,48,"never married","4.master","IT","no",69.0108766220885
2009,33,"married","5.phd","industrial","yes",87.9810327856054
2007,50,"married","3.bachelor","IT","yes",89.2428846644714
2003,31,"married","5.phd","IT","yes",171.765132627508
2003,48,"married","4.master","industrial","yes",133.232350826567
2005,35,"married","5.phd","IT","yes",200.543262324662
2009,47,"married","3.bachelor","industrial","yes",92.8958447894966
2007,45,"married","4.master","industrial","yes",148.413159102577
2009,52,"married","2.highschool","industrial","yes",119.742556289908
2007,46,"married","2.highschool","industrial","yes",82.6796372966372
2007,47,"married","4.master","IT","no",105.927810775063
2009,49,"married","2.highschool","industrial","yes",267.901086855275
2007,36,"married","1.primary","industrial","no",104.921506533664
2005,51,"married","4.master","industrial","no",127.115743812184
2008,46,"married","2.highschool","industrial","yes",157.700527725737
2004,37,"married","4.master","IT","no",148.413159102577
2005,23,"never married","3.bachelor","industrial","yes",65.1108537153447
2008,43,"married","4.master","industrial","yes",104.921506533664
2006,34,"married","4.master","IT","yes",78.3924668009837
2008,58,"married","2.highschool","industrial","yes",139.213788138664
2009,44,"never married","4.master","IT","yes",112.6488963421
2008,61,"married","4.master","IT","no",79.8549003093467
2005,40,"divorced","1.primary","industrial","no",65.1108537153447
2003,37,"married","3.bachelor","IT","yes",111.720849360989
2003,33,"married","2.highschool","IT","no",104.921506533664
2004,38,"married","3.bachelor","IT","yes",176.989650489877
2006,41,"married","2.highschool","IT","yes",99.6894636984864
2005,30,"married","2.highschool","industrial","yes",104.921506533664
2003,51,"married","1.primary","industrial","yes",70.8150386167557
2003,39,"never married","3.bachelor","industrial","yes",94.0727147457005
2006,56,"married","3.bachelor","IT","yes",127.115743812184
2007,44,"never married","2.highschool","industrial","no",97.4932940453934
2005,51,"divorced","5.phd","IT","yes",109.833985642199
2006,35,"married","2.highschool","industrial","no",75.1996281485946
2009,27,"never married","2.highschool","industrial","no",65.1108537153447
2003,47,"married","3.bachelor","industrial","yes",146.462838515063
2007,51,"married","3.bachelor","IT","no",81.2832532842527
2006,41,"married","2.highschool","industrial","no",127.115743812184
2005,63,"married","1.primary","industrial","no",73.7757432746946
2009,61,"never married","2.highschool","IT","no",65.1108537153447
2004,46,"married","2.highschool","industrial","yes",99.6894636984864
2009,33,"never married","3.bachelor","industrial","no",79.8549003093467
2009,35,"separated","1.primary","IT","no",73.7757432746946
2003,28,"married","5.phd","IT","yes",87.9810327856054
2007,50,"married","3.bachelor","industrial","no",118.884359339886
2007,41,"married","5.phd","IT","yes",284.524740902214
2008,23,"married","4.master","industrial","no",118.884359339886
2004,45,"married","3.bachelor","IT","yes",106.921814091211
2007,63,"married","5.phd","industrial","yes",100.013486924706
2006,59,"married","3.bachelor","IT","yes",108.874525834712
2005,30,"married","4.master","IT","yes",114.475713290347
2003,30,"married","5.phd","IT","yes",115.375038556391
2007,45,"married","2.highschool","industrial","no",130.982177377461
2005,42,"married","2.highschool","industrial","yes",79.8549003093467
2009,57,"married","1.primary","industrial","yes",106.921814091211
2003,52,"divorced","3.bachelor","industrial","no",22.9624006796429
2003,54,"married","3.bachelor","IT","yes",115.182455126581
2005,30,"married","3.bachelor","IT","yes",103.90247060316
2003,47,"married","4.master","industrial","yes",184.469464222499
2003,38,"never married","3.bachelor","IT","yes",314.32933644529
2003,47,"married","3.bachelor","IT","yes",99.6894636984864
2008,39,"never married","4.master","industrial","yes",128.680488220624
